region	GC
chr1:2488081-2488194	0.672566371681415929
chr1:2489142-2489295	0.647058823529411765
chr1:2489759-2489929	0.611764705882352941
chr1:2490319-2490438	0.596638655462184874
chr1:2491239-2491439	0.695
chr1:2492040-2492179	0.625899280575539568
chr1:2493089-2493276	0.59893048128342246
chr1:2494281-2494357	0.526315789473684211
chr1:2494564-2494734	0.617647058823529412
chr1:4367256-4367353	0.536082474226804124
chr1:8073247-8074478	0.474411047928513404
chr1:8075345-8075466	0.413223140495867769
chr1:8075532-8075701	0.44378698224852071
chr1:8080000-8080120	0.366666666666666667
chr1:8085000-8085120	0.391666666666666667
chr1:9770491-9770676	0.578378378378378378
chr1:9775576-9775849	0.6336996336996337
chr1:9775884-9776158	0.667883211678832117
chr1:9776475-9776699	0.647321428571428571
chr1:9776994-9777188	0.623711340206185567
chr1:9777572-9777706	0.66417910447761194
chr1:9778729-9778995	0.627819548872180451
chr1:9779956-9780097	0.631205673758865248
chr1:9780147-9780322	0.674285714285714286
chr1:9780646-9780741	0.621052631578947368
chr1:9780777-9780989	0.655660377358490566
chr1:9781162-9781328	0.656626506024096386
chr1:9781479-9781667	0.627659574468085106
chr1:9781796-9781940	0.666666666666666667
chr1:9782010-9782233	0.627802690582959641
chr1:9782279-9782436	0.624203821656050955
chr1:9782563-9782686	0.658536585365853659
chr1:9783160-9783372	0.599056603773584906
chr1:9784004-9784172	0.583333333333333333
chr1:9784311-9784501	0.505263157894736842
chr1:9784839-9785016	0.615819209039548023
chr1:9786944-9787126	0.565934065934065934
chr1:11167519-11167579	0.516666666666666667
chr1:11168215-11168365	0.486666666666666667
chr1:11169324-11169449	0.408
chr1:11169683-11169808	0.432
chr1:11172886-11172996	0.527272727272727273
chr1:11174352-11174532	0.533333333333333333
chr1:11174847-11174966	0.411764705882352941
chr1:11175430-11175547	0.487179487179487179
chr1:11177038-11177165	0.417322834645669291
chr1:11181280-11181447	0.568862275449101796
chr1:11182013-11182205	0.5625
chr1:11184532-11184712	0.505555555555555556
chr1:11186656-11186875	0.465753424657534247
chr1:11187044-11187223	0.519553072625698324
chr1:11187658-11187885	0.515418502202643172
chr1:11188038-11188205	0.550898203592814371
chr1:11188488-11188631	0.503496503496503497
chr1:11188889-11189030	0.453900709219858156
chr1:11189772-11189917	0.53103448275862069
chr1:11190563-11190856	0.604095563139931741
chr1:11193114-11193276	0.549382716049382716
chr1:11194385-11194545	0.56875
chr1:11199338-11199514	0.477272727272727273
chr1:11199567-11199737	0.547058823529411765
chr1:11204682-11204834	0.546052631578947368
chr1:11205002-11205124	0.5
chr1:11206710-11206870	0.5
chr1:11210160-11210305	0.510344827586206897
chr1:11217186-11217370	0.54891304347826087
chr1:11227476-11227596	0.458333333333333333
chr1:11259292-11259482	0.510526315789473684
chr1:11259575-11259782	0.478260869565217391
chr1:11264595-11264782	0.631016042780748663
chr1:11269346-11269537	0.47643979057591623
chr1:11270848-11270985	0.408759124087591241
chr1:11272346-11272553	0.526570048309178744
chr1:11272830-11272987	0.503184713375796178
chr1:11273433-11273645	0.481132075471698113
chr1:11276182-11276313	0.427480916030534351
chr1:11288702-11288997	0.515254237288135593
chr1:11290959-11291133	0.522988505747126437
chr1:11291334-11291513	0.536312849162011173
chr1:11292470-11292607	0.423357664233576642
chr1:11293432-11293566	0.410447761194029851
chr1:11294177-11294344	0.538922155688622754
chr1:11297877-11298127	0.568
chr1:11298436-11298696	0.553846153846153846
